Gene,Probe,Pearson,MaxDiff,Tau,Euclid,AvgVar
PLBD1,A_23_P87709,0.7105,0.7241,0.4884,8.5022,0.486
SYNE1,A_23_P500861,0.7105,0.5941,0.3844,5.114,0.382
PHLDB1,CUST_9686_PI416261804,0.7104,0.7508,0.496,8.5424,0.493
SCIN,CUST_6006_PI416261804,0.7104,0.7429,0.5139,12.0354,0.519
XRCC6BP1,A_23_P53363,0.7104,0.7199,0.5384,6.8908,0.542
KIF16B,A_23_P17503,0.7103,0.7641,0.5084,3.9871,0.507
MYH9,A_24_P408424,0.7103,0.7471,0.5323,4.7137,0.531
TMEM50B,A_24_P305623,0.7102,0.7084,0.4358,4.4712,0.434
CTDSPL,A_24_P251534,0.7102,0.7374,0.4976,4.5726,0.503
SHMT2,A_23_P169629,0.7101,0.752,0.5025,4.0091,0.506
SDS,A_24_P304439,0.7101,0.7453,0.4693,9.8537,0.469
ITPK1,A_23_P37399,0.7101,0.7163,0.4892,3.9129,0.488
PYCRL,A_24_P4212,0.7101,0.7114,0.5209,4.8473,0.521
FNDC3B,A_23_P253434,0.7101,0.6425,0.453,3.4517,0.454
FILIP1L,A_23_P252052,0.71,0.7393,0.4743,8.4168,0.482
NIN,A_24_P412512,0.71,0.7205,0.5253,4.9824,0.522
BET3L,A_32_P25639,0.7099,0.6273,0.4191,9.198,0.422
LOC391769,A_24_P7934,0.7099,0.6836,0.4487,3.7766,0.448
FUT8,A_23_P313632,0.7098,0.7332,0.4842,6.367,0.484
WFDC1,A_23_P106617,0.7098,0.7199,0.5148,5.7001,0.515
ATP8B1,CUST_98_PI416408490,0.7097,0.6624,0.3684,8.4025,0.38
STX19,CUST_148_PI416379584,0.7097,0.6407,0.38,7.8904,0.393
SLC36A4,A_23_P86838,0.7096,0.7423,0.4992,3.8036,0.507
FYCO1,A_23_P212339,0.7096,0.6981,0.4473,6.5077,0.445
ZNF189,A_24_P89872,0.7096,0.7296,0.4864,4.2599,0.485
TESK2,A_23_P9875,0.7096,0.7568,0.5257,8.4341,0.525
BCLAF1,A_24_P80915,0.7095,0.7356,0.4871,7.3653,0.495
SACM1L,A_23_P212383,0.7094,0.7604,0.5174,4.3584,0.52
GYG1,A_23_P384517,0.7094,0.706,0.5004,5.2223,0.501
GLUD2,CUST_287_PI416408490,0.7094,0.6685,0.4427,5.6333,0.454
ARL4A,A_23_P145761,0.7093,0.7272,0.4885,4.5887,0.495
CAPZB,A_23_P126752,0.7093,0.7139,0.4929,3.0991,0.496
C20orf19,CUST_7007_PI416261804,0.7092,0.7641,0.5131,4.1122,0.516
CCDC121,A_23_P5742,0.7092,0.7356,0.4609,5.169,0.463
HIBADH,A_23_P335428,0.7092,0.7616,0.5227,4.1706,0.527
C1orf201,A_24_P133162,0.7091,0.7139,0.4572,6.8448,0.456
FZD6,A_23_P123276,0.7091,0.7381,0.4982,7.2873,0.502
PCBD1,A_23_P367405,0.7091,0.7247,0.502,5.4931,0.506
SLC30A10,A_23_P86242,0.7091,0.7096,0.4259,5.3181,0.432
WDR92,A_32_P165113,0.7091,0.7314,0.4917,3.8164,0.495
LOC100290732,CUST_9431_PI416261804,0.7091,0.5475,0.396,8.3629,0.395
SLC6A7,CUST_1075_PI416261804,0.7089,0.6673,0.4148,8.7715,0.424
KLHL29,A_23_P209360,0.7088,0.6582,0.429,6.0942,0.432
PRSS16,A_23_P340131,0.7087,0.709,0.4386,8.9151,0.451
YAP1,A_23_P104762,0.7087,0.6092,0.3757,7.0523,0.378
DPY19L2,A_32_P195850,0.7086,0.7713,0.5601,6.0084,0.56
GABRG3,A_23_P332268,0.7086,0.7163,0.5115,7.7712,0.516
ALOX5,A_23_P104464,0.7085,0.6358,0.3918,12.5217,0.392
ZNF708,A_32_P46155,0.7085,0.677,0.4528,5.7726,0.45
LEPR,CUST_1429_PI416379584,0.7085,0.7084,0.4732,5.8741,0.482
NSF,A_23_P15714,0.7085,0.6086,0.3932,5.9853,0.392
